input_filename,rider_id,timestamp,distance,speed,heart_rate,altitude,SensorHeading,SensorAccelerationX_HD,SensorAccelerationY_HD,SensorAccelerationZ_HD,position_lat,position_long,osm_uid,osm_name,osm_highway,osm_incline,osm_mtb:scale,osm_surface,osm_trail_visibility,osm_width,osm_sac_scale,osm_bicycle,osm_foot,osm_tracktype,trailforks_trailid,trailforks_title,trailforks_difficulty,trailforks_trailtype,trailforks_biketype,trailforks_physical_rating,trailforks_ttfs,trailforks_wet_weather,trailforks_season,trailforks_condition,trailforks_difficulty_votes,trailforks_difficulty_user_avg,trailforks_family_friendly,trailforks_amtb-rating,trailforks_activitytypes,gopro_AcclX,gopro_AcclY,gopro_AcclZ,gopro_Latitude,gopro_Longitude,gopro_Altitude,gopro_Speed,gopro_Speed3D,gopro_TS,gopro_GpsAccuracy,gopro_GpsFix,gopro_GyroX,gopro_GyroY,gopro_GyroZ
"dandlberg_m_1","1","964206901640.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","576.0","356.0","-1128.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901680.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","336.0","336.0","-808.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901720.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","1116.0","340.0","-404.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901760.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","568.0","208.0","-256.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901800.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","692.0","140.0","-832.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901840.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","848.0","296.0","-816.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901880.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","788.0","216.0","-532.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901920.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","784.0","84.0","-420.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206901960.0","25.2","1.3619999999999999","126.0","815.4000000000001","-1.3278633","1008.0","32.0","-512.0","47.76375839486718","12.169093871489167","268988","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"dandlberg_m_1","1","964206903000.0","27.59","1.344","126.0","815.8","-1.8048736","796.0","48.0","-492.0","47.76377976872027","12.16909303329885","223093","0","path","up","0","unpaved","excellent","1.5","0","yes","yes","0","293564","Dandlberg Flowtrail Downhill","3","1","1,2,3,12","0","","0","","0","0","0","0","0","[1, 2, 6, 5]","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
